time,speed,alt,satellites
18364140,39.96616,10420,10
18364150,40.040240000000004,10420,10
18364160,40.206920000000004,10420,10
18364170,39.873560000000005,10420,10
18364180,39.59576,10420,10
18364190,39.706880000000005,10420,10
18364200,39.76244,10420,10
18364210,39.76244,10420,10
18364220,39.484640000000006,10420,10
18364230,39.632799999999996,10420,10
18364240,39.50316,10410,10
18364250,39.66984000000001,10420,10
18364260,39.706880000000005,10410,10
18364270,39.632799999999996,10410,10
18364280,39.7254,10420,10
18364290,39.984680000000004,10420,9
18364300,39.89208,10420,9
18364310,40.72548,10420,9
18364320,40.46620000000001,10430,9
18364330,40.35508,10430,8
18364340,40.07728,10430,8
18364350,40.76252,10440,8
18364360,39.59576,10430,8
18364370,37.98452,10430,8
18364380,38.743840000000006,10430,8
18364390,38.31788,10430,8
18364400,38.13268,10430,8
18364410,38.46604,10430,8
18364420,39.1698,10430,8
18364430,40.11432,10430,8
18364440,40.81808,10430,8
18364450,40.5588,10430,8
18364460,40.6514,10430,8
18364470,40.744,10430,7
18364480,40.0958,10430,7
18364490,39.57724,10430,6
18364500,39.484640000000006,10430,6
18364510,39.1698,10430,6
18364520,38.76236,10430,6
18364530,36.299200000000006,10430,6
18364540,34.66944,10430,7
18364550,35.447280000000006,10430,7
18364560,36.002880000000005,10430,6
18364570,36.391799999999996,10440,7
18364580,36.22512,10440,8
18364590,35.9288,10440,8
18364600,35.39172,10440,8
18364610,34.576840000000004,10440,8
18364620,34.37312,10450,9
18364630,34.39164,10450,9
18364640,34.48424000000001,10450,9
18364650,34.76204,10460,9
18364660,36.15104,10460,9
18364670,37.11408,10470,9
18364680,37.66968,10480,9
18364690,38.02156,10480,8
18364700,38.7068,10480,8
18364710,39.243880000000004,10480,8
18364720,39.13276,10470,8
18364730,39.33648,10460,8
18364740,38.83644,10460,8
18364750,38.72532,10460,8
18364760,39.2624,10470,8
18364770,39.31796,10470,7
18364780,38.743840000000006,10470,7
18364790,36.743680000000005,10470,7
18364800,34.85464,10470,7
18364810,32.81744,10460,8
18364820,31.076560000000004,10460,8
18364830,29.50236,10450,8
18364840,28.59488,10440,8
18364850,29.48384,10430,8
18364860,31.076560000000004,10400,8
18364870,32.55816,10380,8
18364880,37.02148,10360,8
18364890,39.42908,10320,8
18364900,41.07736,10310,9
18364910,42.00336,10310,9
18364920,43.35532,10300,9
18364930,45.855520000000006,10300,9
18364940,46.3926,10290,9
18364950,46.55928,10290,9
18364960,46.61484000000001,10280,9
18364970,47.3186,10260,9
18364980,47.226,10250,9
18364990,47.00376,10230,9
18365000,47.07784000000001,10210,9
18365010,48.65204,10200,9
18365020,50.13364,10180,8
18365030,50.467000000000006,10240,8
18365040,52.07824,10220,8
18365050,52.633840000000006,10260,8
18365060,53.81912,10270,9
18365070,55.04144,10280,9
18365080,55.54148,10290,9
18365090,57.171240000000004,10290,9
18365100,57.875,10310,9
18365110,58.652840000000005,10310,9
18365120,59.782560000000004,10310,9
18365130,60.91228,10320,9
18365140,61.097480000000004,10320,9
18365150,62.338319999999996,10320,9
18365160,63.35692,10320,9
18365170,63.986599999999996,10320,10
18365180,65.0978,10320,10
18365190,66.04232,10320,10
18365200,66.83868000000001,10320,9
18365210,68.00544000000001,10320,9
18365220,69.00552,10320,10
18365230,69.87595999999999,10320,10
18365240,70.67232,10320,10
18365250,71.91316,10330,10
18365260,72.83916,10330,10
18365270,73.7096,10330,10
18365280,75.08008,10330,10
18365290,75.80236000000001,10330,10
18365300,76.82096,10330,9
18365310,78.13588,10330,9
18365320,79.04336,10330,9
18365330,80.17308,10330,9
18365340,81.26576000000001,10330,9
18365350,82.08064,10330,9
18365360,83.35852,10330,9
18365370,84.50676000000001,10330,9
18365380,85.08088,10330,9
18365390,86.41432,10330,9
18365400,87.26624,10330,9
18365410,88.30336,10330,9
18365420,89.21084,10330,8
18365430,90.32204000000002,10330,8
18365440,91.37768000000001,10320,8
18365450,92.17404,10320,8
18365460,93.13708,10320,9
18365470,93.84084000000001,10320,9
18365480,95.1002,10320,9
18365490,96.0262,10320,9
18365500,96.80404000000001,10320,9
18365510,97.95228,10310,9
18365520,98.54492,10310,9
18365530,99.52648,10310,9
18365540,100.41544,10310,9
18365550,101.43404000000001,10310,9
18365560,102.21188000000001,10310,9
18365570,103.17492,10310,9
18365580,104.15648,10310,8
18365590,104.97136,10310,8
18365600,105.8418,10310,8
18365610,106.71224,10310,9
18365620,107.86048000000001,10310,9
18365630,108.65684,10310,9
18365640,109.21244,10300,9
18365650,110.24956,10310,9
18365660,110.5644,10300,9
18365670,111.87931999999999,10300,9
18365680,112.3238,10300,9
18365690,113.23128000000001,10300,9
18365700,114.26840000000001,10300,9
18365710,114.86104000000002,10300,9
18365720,115.36108,10300,9
18365730,114.86104000000002,10300,9
18365740,115.47220000000002,10310,9
18365750,115.93520000000001,10310,9
18365760,116.52784000000001,10310,9
18365770,117.36124,10320,9
18365780,117.43532,10320,9
18365790,117.12048000000001,10330,9
18365800,117.6946,10330,9
18365810,119.19472,10340,9
18365820,120.43556000000001,10340,9
18365830,121.8616,10340,9
18365840,125.43596000000001,10340,9
18365850,126.19528000000001,10340,9
18365860,126.36196000000001,10340,9
18365870,126.73236000000001,10340,9
18365880,127.23240000000001,10350,9
18365890,127.82504,10340,9
18365900,128.49176,10340,9
18365910,129.08440000000002,10340,9
18365920,130.14004,10340,9
18365930,130.69564,10340,9
18365940,131.28828000000001,10340,9
18365950,132.17724,10330,9
18365960,132.25132,10330,9
18365970,132.21428,10330,9
18365980,131.84388,10340,9
18365990,132.1402,10340,9
18370000,132.52912,10340,9
18370010,132.95508,10340,9
18370020,133.41808000000003,10340,9
18370030,133.80700000000002,10340,9
18370040,134.15888,10350,9
18370050,134.52928,10350,9
18370060,134.89968000000002,10350,9
18370070,135.3812,10350,9
18370080,136.2146,10350,9
18370090,136.65908000000002,10350,9
18370100,137.12208,10350,9
18370110,137.64064,10350,9
18370120,138.27032,10350,9
18370130,138.75184000000002,10360,9
18370140,139.25188,10360,9
18370150,139.95564,10360,9
18370160,140.43716,10360,9
18370170,141.17796,10360,9
18370180,141.54836000000003,10350,9
18370190,142.28916,10350,9
18370200,142.80772000000002,10350,9
18370210,143.28924,10350,9
18370220,144.06708000000003,10350,9
18370230,144.60416,10350,9
18370240,145.03012,10360,9
18370250,145.73388,10360,9
18370260,146.10428000000002,10360,9
18370270,146.71544,10360,9
18370280,147.21547999999999,10360,9
18370290,147.697,10370,9
18370300,148.08592,10370,9
18370310,149.03044,10370,9
18370320,149.23416,10360,9
18370330,149.66012,10370,9
18370340,150.27128000000002,10370,9
18370350,150.2898,10370,9
18370360,150.71576,10370,9
18370370,150.32684,10370,9
18370380,150.71576,10370,9
18370390,150.67872,10370,9
18370400,150.86392,10370,9
18370410,150.90096000000003,10370,9
18370420,150.6602,10370,9
18370430,150.54908000000003,10370,9
18370440,151.21580000000003,10370,9
18370450,152.71591999999998,10370,9
18370460,152.45664,10370,9
18370470,153.27152,10370,9
18370480,154.60496,10370,9
18370490,155.2902,10370,9
18370500,156.66068,10360,9
18370510,157.99412,10370,9
18370520,158.58676,10370,9
18370530,158.9016,10370,9
18370540,159.95724,10370,9
18370550,160.23504,10380,9
18370560,160.64248,10380,9
18370570,161.04992,10380,9
18370580,161.4944,10380,9
18370590,161.80924000000002,10380,9
18370600,162.64264,10390,9
18370610,162.95748,10390,9
18370620,163.34640000000002,10390,9
18370630,163.79088000000002,10390,9
18370640,163.88348,10400,9
18370650,164.69836,10400,9
18370660,165.23544,10400,9
18370670,165.23544,10400,9
18370680,165.66140000000001,10400,9
18370690,166.34664,10400,9
18370700,166.71704,10400,9
18370710,167.27264,10400,9
18370720,167.27264,10410,9
18370730,167.38376,10410,9
18370740,166.71704,10410,9
18370750,166.7726,10410,9
18370760,166.38368000000003,10420,9
18370770,166.17996000000002,10420,9
18370780,166.01328,10430,9
18370790,165.71696000000003,10430,9
18370800,165.58732,10430,9
18370810,165.55028000000001,10440,9
18370820,165.34656,10440,9
18370830,165.12432,10450,9
18370840,165.01319999999998,10450,9
18370850,164.60576,10460,9
18370860,164.30944,10460,9
18370870,163.90200000000002,10470,9
18370880,163.86496000000002,10480,9
18370890,163.2538,10480,9
18370900,163.03156,10490,9
18370910,162.93896,10490,9
18370920,161.93888,10500,9
18370930,161.64256,10510,9
18370940,161.64256,10510,9
18370950,161.17956,10510,9
18370960,160.77212,10520,9
18370970,159.88316,10530,9
18370980,159.29052000000001,10540,9
18370990,158.84604,10540,9
18371000,158.14228,10550,9
18371010,157.62372000000002,10550,9
18371020,156.88291999999998,10560,9
18371030,156.30880000000002,10570,9
18371040,155.69764,10580,9
18371050,154.84572,10590,9
18371060,154.179,10600,9
18371070,153.82712,10600,9
18371080,152.82704,10610,9
18371090,152.19736000000003,10620,9
18371100,151.54916,10630,9
18371110,150.80836000000002,10640,9
18371120,150.04904,10650,9
18371130,149.36380000000003,10650,9
18371140,148.82672,10660,9
18371150,147.95628000000002,10670,9
18371160,147.65996,10680,9
18371170,146.99324000000001,10680,9
18371180,146.04872,10690,9
18371190,145.30792,10700,9
18371200,144.86344,10700,9
18371210,144.2708,10710,9
18371220,143.82632,10720,9
18371230,143.21516,10720,9
18371240,142.86328,10730,9
18371250,142.75216,10730,9
18371260,142.04840000000002,10740,9
18371270,141.88172,10740,9
18371280,141.215,10750,9
18371290,141.01128,10750,9
18371300,140.78904,10760,9
18371310,140.45568,10760,9
18371320,140.02972,10770,9
18371330,139.363,10770,9
18371340,139.34448,10780,9
18371350,138.91852000000003,10780,9
18371360,138.36292,10790,9
18371370,137.91844,10790,9
18371380,137.65916,10800,9
18371390,137.17764,10800,9
18371400,136.88132,10800,9
18371410,136.28868,10800,9
18371420,136.27016,10810,9
18371430,135.62196,10810,9
18371440,135.21452000000002,10810,9
18371450,134.95524,10820,9
18371460,134.38112,10820,9
18371470,134.10332,10820,9
18371480,133.25140000000002,10820,9
18371490,132.78840000000002,10830,9
18371500,132.64024,10830,9
18371510,131.88092,10830,9
18371520,131.45496,10830,9
18371530,130.67712,10830,9
18371540,130.25116,10830,9
18371550,129.95484000000002,10830,9
18371560,129.15848,10840,9
18371570,128.51028,10840,9
18371580,128.08432,10840,9
18371590,127.45464,10840,9
18371600,126.86200000000001,10840,9
18371610,126.60272,10840,9
18371620,125.73228,10840,9
18371630,125.1026,10840,9
18371640,124.65812000000001,10840,9
18371650,124.25068000000002,10840,9
18371660,123.58396000000002,10840,9
18371670,123.12096000000001,10840,9
18371680,122.73204,10840,9
18371690,122.13940000000001,10840,9
18371700,121.58380000000001,10840,9
18371710,121.0282,10830,9
18371720,120.78744,10830,9
18371730,120.06516,10830,9
18371740,119.75032,10830,9
18371750,119.23176,10830,9
18371760,118.78728000000001,10830,9
18371770,118.23168000000001,10830,9
18371780,117.86128000000001,10830,9
18371790,117.34272,10830,9
18371800,116.80564000000001,10820,9
18371810,116.21300000000001,10820,9
18371820,115.86112000000001,10820,9
18371830,115.49072000000001,10820,9
18371840,115.13884,10820,9
18371850,114.65732,10810,9
18371860,114.37952,10810,9
18371870,113.89800000000001,10810,9
18371880,113.76836,10800,9
18371890,113.28684000000001,10800,9
